max_depth,learning_rate,min_samples_split,min_samples_leaf,n_estimators,time,RMSE
348,0.0384017613709226,2,4,77,3.318252125000072,1511.3542644866147
374,0.0390313043862467,5,1,100,5.095236000001023,1619.3002992770837
342,0.0459791962121228,6,2,49,2.306985375000295,1564.0327413227742
336,0.0555672249022583,2,6,26,0.9891969170002994,1510.243489881691
358,0.0260776491301464,7,8,66,2.335598791998564,1484.6316805871118
362,0.0400286043675508,3,9,55,1.8472618750001857,1478.3282714110862
359,0.1193729460516072,2,9,33,1.1151743749996967,1486.0567718458976
373,0.2,10,10,61,2.0270318329985457,1489.2484248793128
385,0.1003670480258974,9,10,79,2.5815787079991424,1494.9560562357751
103,0.025172187597853,2,2,119,5.764992915999756,1571.9277125057984
349,0.2,10,10,91,2.9919114580006863,1499.365914565106
12,0.0312095470939442,7,4,115,4.409286209000129,1514.7852532945665
78,0.2,2,10,106,3.610825333000321,1499.6273846156223
348,0.0773510869450691,9,9,118,4.130385375001424,1498.186230748575
359,0.0688719569391911,2,9,135,4.709314875000928,1505.9151961415785
331,0.1375932251264563,5,9,130,4.424928458000068,1503.1365072093529
380,0.01,10,10,136,4.492604584000219,1511.3082629206776
111,0.1099469446826741,8,9,96,3.2487946250003006,1489.1057095649887
127,0.0224830579959177,3,9,93,3.320052541999757,1490.5492469850024
139,0.2,10,10,106,3.6988940829996864,1499.6273846156223
145,0.2,2,1,89,5.256426041998566,1613.2956586371054
115,0.0759416070141081,2,9,80,2.8540648340003827,1485.6081884500034
320,0.2,10,10,59,2.056289000000106,1486.71436968022
142,0.0493659811985746,9,6,130,5.151838874999157,1513.9879836815603
46,0.1729661310930213,4,5,132,5.797784207999939,1509.3207692469532
121,0.0759493427777214,8,6,61,2.5000745420002204,1495.8363514999744
120,0.1852916618340425,8,7,40,1.5528430839985958,1482.3516580231153
134,0.01,2,10,47,1.6472021249992397,1484.4043248221085
135,0.2,10,1,33,1.693940332999773,1612.1811949795758
113,0.01,2,10,49,1.728675292000844,1484.1914661600802
104,0.192858022656962,9,1,36,1.7898362500000076,1642.2081182274949
124,0.1845323517520138,4,5,50,2.10525108299953,1484.0861179115352
