max_depth,learning_rate,min_samples_split,min_samples_leaf,n_estimators,time,RMSE
295,0.01,2,1,135,4.971604959000615,3865.707947402248
336,0.01,10,1,178,5.095462458999464,3855.098535413348
19,0.058218402054631,9,9,157,3.8013433329997497,3908.1965284478174
347,0.1346244096680059,2,8,182,4.2679488329995365,3885.815104982005
323,0.0201422257362137,3,7,186,4.449697709000247,3877.6220434554784
336,0.1164207371731926,5,3,194,5.7272357500005455,3853.5612570993408
308,0.1621561886526752,3,4,181,4.928454291999515,3867.922914011747
360,0.1555318442157727,10,6,175,4.421983792000901,3877.10964478068
351,0.01,10,1,191,5.640582874999382,3854.200976088046
363,0.1999067962547516,9,9,191,5.3075277500011,3899.9091467154335
290,0.01,2,4,120,4.349299457999223,3883.415821864586
312,0.1660926295605703,9,1,194,6.443256750000728,3853.338085406175
301,0.01,2,10,194,4.960637124999266,3909.268773426585
368,0.01,10,1,162,5.307394291001401,3852.995631936368
365,0.1958119060386824,3,1,146,5.986317457998666,3874.4580601755592
374,0.1922063419030002,4,7,173,4.941064832999473,3878.067805895247
379,0.0804038679276556,3,8,157,4.396354541000619,3891.063902129582
286,0.2,10,10,134,3.581121208000696,3931.642765952122
348,0.1180801087667133,4,9,198,5.467600207999567,3899.676335301451
32,0.01,10,1,190,7.340141291000691,3854.439292594698
39,0.1626566328099054,3,3,177,6.652434166000603,3855.370354825917
42,0.1062500984498065,4,7,191,6.060073915999965,3874.883381860232
28,0.0949530583093261,4,9,199,6.009792209000807,3900.652039365765
324,0.0858108802285287,2,6,199,5.7621345830011705,3873.7293844362007
50,0.1729880727056957,9,7,170,4.706862749999345,3877.9796926644726
53,0.1783473314268418,7,1,186,6.550180250000267,3869.687343081659
285,0.179870414334188,2,2,149,5.374404250000225,3867.198919328329
289,0.0649080287392845,4,6,163,4.59274029199878,3873.7004475826416
297,0.01,10,10,175,4.491614791999382,3915.57579904216
64,0.0260046593331319,6,5,175,5.143968583000969,3863.281699555414
64,0.1314488127946886,2,9,190,4.999819624999873,3900.1441431307153
74,0.2,10,1,186,6.374591917001453,3854.9975134309016
79,0.1599169318124812,3,8,177,5.134914500000377,3888.311633215813
59,0.01,2,1,162,7.515840874999412,3855.567991115066
48,0.116774978343454,9,2,153,5.486054000000877,3860.6774960293897
73,0.2,7,1,164,6.543870000001334,3867.560345127683
62,0.0301035842469917,9,7,152,5.141928250001001,3887.488911532768
80,0.0980625030876039,2,5,195,7.076715417000742,3858.976040797473
89,0.1911031936712528,4,2,186,7.623839040999883,3862.020665553123
91,0.1748779459073008,4,1,170,7.030386583999643,3863.018952320933
66,0.0464332389040759,8,1,199,7.423847124999156,3859.395891768481
91,0.01,10,9,197,5.623270375001084,3900.011149716394
44,0.1529806225392281,3,10,143,4.128605415999118,3924.336346235541
102,0.0402991366957633,4,6,179,5.384947042000931,3876.38650179246
53,0.0984292615522765,4,3,199,6.85180420800134,3858.4399534337767
84,0.117300148927519,4,9,157,5.479171457998746,3908.1965284478174
102,0.1827625136140782,7,6,162,4.959602749999249,3873.799908297948
276,0.1351140062604407,10,10,156,4.228547041000638,3919.5652986122977
102,0.0980816137809201,2,1,193,8.758264124999187,3862.620143563457
113,0.2,10,1,187,9.19773612499921,3854.079765221226
