batch_size,epochs,lstm_neurons,first_dense_layer_neurons,dropout,activation_function,optimizer,learning_rate,transformer_layers,num_heads,time,RMSE,conv1d_filters
1024,200,,32,0.7,tanh,rmsprop,0.0001,1,4,2143195.458707047,6040.368968399988,32
256,200,,32,0.1,sigmoid,rmsprop,0.0001,1,8,2144638.099928957,2818.868408853233,32
256,200,,32,0.1,tanh,rmsprop,0.0001,3,8,2148913.489749087,4014.3128047938953,256
1024,200,,64,0.7,tanh,rmsprop,0.0001,3,4,2157409.913196536,5208.301428486709,256
32,200,,32,0.7,tanh,rmsprop,0.0001,1,8,2163615.530366253,3348.984718616186,256
1024,200,,256,0.1,tanh,adam,0.0001,3,8,2170337.343547953,3468.721949490131,32
32,200,,32,0.1,tanh,adam,0.0001,1,8,2171163.374087765,2720.9855785111395,32
32,200,,32,0.1,tanh,rmsprop,0.0001,1,8,2177141.883910566,3197.5545893335334,64
32,200,,256,0.1,sigmoid,rmsprop,0.0001,1,8,2183831.668585527,2511.0826882649594,32
256,200,,32,0.1,sigmoid,adam,0.0001,3,8,2189194.917405292,2697.867361393099,32
256,200,,128,0.1,tanh,rmsprop,0.0001,3,8,2200373.927984858,4407.894962792835,64
32,200,,128,0.1,tanh,rmsprop,0.0001,1,2,2203767.681470186,3644.167675773286,256
128,200,,32,0.7,tanh,rmsprop,0.0001,1,3,2210217.204093154,3807.512413406843,32
128,200,,32,0.7,tanh,adam,0.0001,3,2,2214587.023550619,3524.8331110017866,32
32,200,,256,0.1,tanh,adam,0.0001,1,2,2224137.985485302,3281.869650908373,32
256,200,,32,0.7,tanh,adam,0.0001,3,2,2227784.700960518,4386.655970914581,256
32,200,,32,0.1,tanh,adam,0.0001,3,3,2236395.090793947,3926.1545324677054,32
32,200,,32,0.1,tanh,rmsprop,0.0001,1,4,2246335.731393115,3147.940640768394,32
1024,200,,32,0.1,tanh,adam,0.0001,3,4,2251287.536582863,3696.766767325862,32
32,200,,256,0.7,tanh,rmsprop,0.0001,3,8,2253756.339085106,50000.0,32
1024,200,,256,0.1,sigmoid,rmsprop,0.0001,3,5,2262852.544627374,50000.0,256
