batch_size,epochs,lstm_neurons,first_dense_layer_neurons,dropout,activation_function,optimizer,learning_rate,time,RMSE
1024,200,256,256,0.3,tanh,adam,0.0001,1152903.511661012,4007.2214693719056
1024,200,32,256,0.3,tanh,adam,0.0001,1153404.224225967,4308.638270268824
128,200,128,64,0.3,sigmoid,rmsprop,0.0001,1153616.058088101,4151.149325553394
256,200,32,32,0.3,tanh,adam,0.0001,1154563.648810808,3646.610019807505
64,200,32,256,0.3,tanh,adam,0.0001,1154847.310101067,4626.790193941553
1024,200,32,256,0.3,sigmoid,rmsprop,0.0001,1155352.359425573,4392.98234544559
32,200,32,256,0.7,sigmoid,adam,0.0001,1155609.258854933,5400.712456912931
128,200,256,256,0.3861284508370677,relu,adagrad,0.0291073254623733,1156559.083930293,3513.055796282719
1024,200,32,64,0.7,sigmoid,adam,0.0001,1158710.934727227,8863.899406806877
1024,200,128,32,0.7,sigmoid,rmsprop,0.0001,1158972.011225289,9374.116039723558
64,200,64,256,0.7,tanh,adam,0.0001,1159319.118928749,4242.643154409771
1024,200,128,32,0.7,relu,adam,0.0001,1160004.762635577,3466.695565958174
512,200,64,256,0.3,sigmoid,adam,0.0001,1160429.394094316,3638.681033381017
32,200,32,32,0.7,sigmoid,adam,1.0,1160973.589260011,84260.90315938195
1024,200,64,64,0.7,sigmoid,adagrad,1.0,1162245.169835431,14258.973417009654
256,200,32,64,0.3,sigmoid,adam,0.0001,1162754.025222101,4597.59654547521
256,200,128,32,0.3,tanh,adagrad,0.0001,1163182.52724095,4110.432238434277
1024,200,32,64,0.3,tanh,adam,0.0001,1167377.485232187,3977.152291255551
1024,200,128,32,0.7,tanh,adam,1.0,1167548.945576534,9999999999999.0
